name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_amplitude,w1_mean_w1_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_period,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_amplitude,w2_mean_w2_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_period,w3_mean,w3_mean_err,w3_snr,w4_mean,w4_mean_err,w4_snr,w1_w2,delta_time,filter_flag,wiseview
2MASS J23515044-2537367,J235150.93-253733.37,357.9622959256477,0.04086683937823834,-25.62592299818653,0.037945336787564767,10.95,0.019,10.951,0.018,10.9,0.018,10.99,0.022,59.156,39.2,70.2,199,0.09,-0.001,0.433,0.0020000000000000018,7.652067558212313,0.11512902398210527,2.800816396237499,10.717,0.022,10.715,0.021,10.656,0.022,10.781,0.025,49.93,30.9,58.2,187,0.125,0.002,0.528,0.0010000000000000009,3.7457975639933028,0.14037949580402123,52.492129002771385,10.327,0.21,5.533,7.627,0.194,1.338,0.233,4545.818371640002,AA,http://byw.tools/wiseview#ra=357.9621898&dec=-25.6259373&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J2331016-040619,J233101.85-040622.85,352.7576527174603,0.048980952380952375,-4.106365202645502,0.04593386243386243,11.634,0.021,11.636,0.02,11.586,0.027,11.681,0.024,51.903,30.8,60.4,96,0.095,-0.002,0.474,0.006000000000000005,8.999395090859714,0.2053861675369625,0.0666406096432284,11.395,0.029,11.393,0.028,11.309,0.028,11.478,0.029,37.581,29.7,43.2,93,0.169,0.002,0.503,0.0050000000000000044,8.758919089904536,0.21121430962379975,0.11709542059335504,10.532,0.216,2.7,7.808,,0.1,0.24,4545.109491679999,AA,http://byw.tools/wiseview#ra=352.7577127&dec=-4.106347957&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J22551861-5713056,J225518.21-571310.50,343.8253923831354,0.0503667458432304,-57.219692491686466,0.04629026128266033,11.831,0.022,11.829,0.021,11.774,0.023,11.897,0.025,50.06,33.1,62.2,210,0.123,0.002,0.553,0.0,5.229096878275267,0.13896033899189345,11.79213094276823,11.502,0.03,11.498,0.029,11.415,0.03,11.603,0.028,37.043,23.6,43.8,211,0.188,0.004,0.559,0.0030000000000000027,10.616828592367275,0.11234166983533206,0.06465504418266345,11.016,0.388,2.05,7.654,,1.6,0.329,4546.652620500005,AA,http://byw.tools/wiseview#ra=343.8258557&dec=-57.21958275&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
DENIS-P J225210.73-173013.4,J225211.22-173011.25,343.04688441329785,0.058504255319148935,-17.50305958989362,0.05617925531914893,12.203,0.025,12.206,0.024,12.133,0.026,12.269,0.024,44.315,26.3,52.9,95,0.136,-0.003,0.463,0.0030000000000000027,9.426412934114309,0.2020955072739799,0.14780873606069364,11.776,0.035,11.772,0.035,11.684,0.031,11.878,0.043,31.077,22.6,38.1,93,0.194,0.004,0.546,0.0,5.388645717365353,0.3142443119434184,14.638583316543281,10.915,0.398,3.0,7.622,,1.0,0.427,4548.207836449998,AA,http://byw.tools/wiseview#ra=343.0467666&dec=-17.50312369&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
SDSSp J224953.45+004404.2,J224953.45+004404.56,342.47315513439486,0.12208025477707007,0.7346345987261147,0.11696305732484076,13.607,0.044,13.598,0.043,13.441,0.037,13.779,0.05,24.822,15.8,29.5,79,0.338,0.009,0.536,0.019000000000000017,7.598537337663081,0.21197061206205606,0.26497829922858046,13.12,0.086,13.12,0.084,12.882,0.097,13.394,0.144,13.042,7.5,17.3,78,0.512,-0.0,0.534,0.0010000000000000009,8.896943560183605,0.25892101707319704,0.058948107930338514,10.696,,1.4,6.929,0.251,4.3,0.487,4547.866712709998,AA,http://byw.tools/wiseview#ra=342.4727&dec=0.7346&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSI J2238074+435317,J223807.99+435315.92,339.5332674452747,0.06166813186813187,43.8876517767033,0.05750263736263736,12.205,0.024,12.204,0.024,12.147,0.021,12.274,0.027,45.307,30.1,53.8,224,0.127,0.001,0.551,0.0010000000000000009,10.618762122039,0.11083771347889389,0.05454658411415923,11.979,0.039,11.982,0.037,11.858,0.045,12.091,0.055,28.356,16.3,36.5,231,0.233,-0.003,0.468,0.0,3.5512211037869927,0.14506150677437932,178.79290779279165,11.179,0.404,1.991,7.667,0.448,1.3,0.226,4547.299621530001,AA,http://byw.tools/wiseview#ra=339.5332934&dec=43.88775584&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J22344161+4041387,J223441.59+404138.82,338.6733881518584,0.03914761061946903,40.694063004601766,0.03598530973451327,10.948,0.019,10.947,0.018,10.855,0.021,11.045,0.02,58.259,38.7,71.0,283,0.19,0.001,0.516,0.0,3.980254979817469,0.42461757013552914,51.34818431923225,10.38,0.02,10.381,0.019,10.267,0.02,10.506,0.024,55.544,36.3,67.8,282,0.239,-0.001,0.523,0.0,4.249507523319081,0.4168902845711083,51.34818431923225,8.399,0.057,20.755,5.728,0.11,11.273,0.569,4547.7375245400035,AA,http://byw.tools/wiseview#ra=338.6732932&dec=40.69411772&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASSW J2206228-204705,J220622.84-204706.77,331.5951164477401,0.04160762711864407,-20.785175983333332,0.03900988700564972,11.07,0.019,11.07,0.019,11.028,0.024,11.115,0.02,57.926,35.7,69.7,180,0.087,0.0,0.517,0.0,11.67861189803978,0.14782727024457762,0.042295531874099956,10.858,0.023,10.859,0.023,10.776,0.023,10.938,0.025,47.622,32.6,57.1,174,0.162,-0.001,0.488,0.0020000000000000018,10.558672122639097,0.15016568260634627,0.06446409871342608,10.553,0.275,4.029,7.561,,0.975,0.212,4546.5497397,AA,http://byw.tools/wiseview#ra=331.5951732&dec=-20.78521259&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
eps Indi B,J220418.58-564738.30,331.07675095698926,0.27103333333333335,-56.79414140394265,0.2723745519713262,12.357,0.079,10.633,nan,10.572,0.016,17.262,nan,44.595,-3.1,73.9,165,6.69,1.724,0.991,1.0,nan,nan,4548.882699199996,9.449,0.015,9.448,0.015,9.398,0.015,9.488,0.017,71.587,54.8,83.6,114,0.09,0.001,0.444,0.016000000000000014,8.390861451161255,0.1532020356400505,0.04516061710176473,11.2,,1.8,7.697,,1.4,2.908,4548.882699199996,BA,http://byw.tools/wiseview#ra=331.0773961&dec=-56.79397111&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
2MASS J22025794-5605087,J220258.07-560510.12,330.74188749671526,0.0775229927007299,-56.0861364620438,0.07342189781021898,12.831,0.03,12.834,0.029,12.751,0.03,12.905,0.038,36.725,27.3,43.6,136,0.154,-0.003,0.461,0.019000000000000017,9.362586918799577,0.140321925761619,0.05330057417947631,12.55,0.054,12.545,0.052,12.378,0.05,12.735,0.062,20.71,7.3,26.1,138,0.357,0.005,0.532,0.018000000000000016,7.628773501635987,0.1344565544060899,0.3202539968433702,11.009,0.36,2.1,7.934,,,0.281,4548.877096030003,AA,http://byw.tools/wiseview#ra=330.7419535&dec=-56.08614366&size=100&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
